Use	Rxn-ID	Rxn-Name	Compartment	Enzyme	Reference	Substrate-AcidName	Substrate-AcidID	Substrate-AlcName	Substrate-AlcID	Substrate-AlcStoich	AcidinY9	AlcinY9	SubinY9	Substrate-HID	Substrate-HStoich	Product-Name	Product-ID	Product-Structure	Product-Class	Product-MW	Product-Formula	Product-Charge	Product-SBO	Product-CHEBI	Product-KEGG	Product-H2OID	Product-H2OStoich
1	r1234	esterase	c	3.1.-.-	[10.1006/fmic.1999.0272,10.1016/j.aca.2009.09.040]	lactate	s_0063	ethanol	s_0680	-1	yes	yes	yes	s_0794	-1	ethyl (2S)-lactate	eslac1	CCOC(=O)C(C)O	esters	118.13	C5H10O3	0	SBO:0000247	78322		s_0803	1
1	r1235	esterase	e	3.1.-.-	[10.1006/fmic.1999.0272,10.1016/j.aca.2009.09.040]	lactate	s_0064	ethanol	s_0681	-1	yes	yes	yes	s_0796	-1	ethyl (2S)-lactate	eslac2	CCOC(=O)C(C)O	esters	118.13	C5H10O3	0	SBO:0000247	78322		s_0805	1
1	r1236	esterase	m	3.1.-.-	[10.1006/fmic.1999.0272,10.1016/j.aca.2009.09.040]	lactate	s_0065	ethanol	s_0682	-1	yes	yes	yes	s_0799	-1	ethyl (2S)-lactate	eslac3	CCOC(=O)C(C)O	esters	118.13	C5H10O3	0	SBO:0000247	78322		s_0807	1
0	r1237	esterase	c	3.1.-.-	[10.1006/fmic.1999.0272,10.1016/j.aca.2009.09.040]	lactate	s_0025	ethanol	s_0680	-1	yes	yes	yes	s_0794	-1	ethyl (2R)-lactate	erlac1	CCOC(=O)C(C)O	esters	118.13	C5H10O4	0	SBO:0000247	78323		s_0803	1
0	r1238	esterase	e	3.1.-.-	[10.1006/fmic.1999.0272,10.1016/j.aca.2009.09.040]	lactate	s_0026	ethanol	s_0681	-1	yes	yes	yes	s_0796	-1	ethyl (2R)-lactate	erlac2	CCOC(=O)C(C)O	esters	118.13	C5H10O5	0	SBO:0000247	78323		s_0805	1
0	r1239	esterase	m	3.1.-.-	[10.1006/fmic.1999.0272,10.1016/j.aca.2009.09.040]	lactate	s_0027	ethanol	s_0682	-1	yes	yes	yes	s_0799	-1	ethyl (2R)-lactate	erlac3	CCOC(=O)C(C)O	esters	118.13	C5H10O6	0	SBO:0000247	78323		s_0807	1
1	r1240	esterase	c	3.1.-.-	[10.1016/S0889-1575(03)00021-8,10.1006/fmic.1999.0272,10.1016/j.aca.2009.09.040]	succinate	s_1458	ethanol	s_0680	-2	yes	yes	yes	s_0794	-2	diethyl succinate	desuc_c	CCOC(=O)CCC(=O)OCC	esters	174.196	C8H14O4	0	SBO:0000247	169507		s_0803	2
1	r1241	esterase	c	3.1.-.-	[10.1016/j.aca.2009.09.040]	benzoate	s_3874	ethanol	s_0680	-1	yes	yes	yes	s_0794	-1	ethyl benzoate	eben_c	CCOC(=O)C1=CC=CC=C1	esters	150.177	C9H10O2	0	SBO:0000247	156074		s_0803	1
1	r1242	esterase	c	3.1.-.-	[10.1006/fmic.1999.0272]	pyruvate	s_1399	ethanol	s_0680	-1	yes	yes	yes	s_0794	-1	ethyl pyruvate	epyr_c	CCOC(=O)C(=O)C	esters	116.116	C5H8O3	0	SBO:0000247	173421		s_0803	1
1	r1243	esterase	c	3.1.-.-	[10.1016/S0889-1575(03)00021-8]	succinate	s_1458	ethanol	s_0680	-1	yes	yes	yes	s_0794	-1	mono-ehtyl succinate	mesuc_c	CCOC(=O)CCC(=O)O	esters	146.142	C6H9O4	-1	SBO:0000247	88827		s_0803	1
1	r1244	esterase	c	3.1.-.-	[10.1016/j.aca.2009.09.040]	acetate	s_0362	benzol	s_3799	-1	yes	yes	yes	s_0794	-1	benzyl acetate	bace_c	CC(=O)OCC1=CC=CC=C1	esters	150.177	C9H10O2	0	SBO:0000247	52051		s_0803	1
