NewMetName	Charged formula	Charge	compartment	KEGG ID	CHEBI ID	Remark
H2O [peroxisome]	H2O	0	peroxisome	C00001	CHEBI:15377	based on kegg
L-cystathionine [peroxisome]	C7H14N2O4S	0	peroxisome	C02291	CHEBI:17482	based on kegg
ammonium [peroxisome]	H4N	1	peroxisome	C01342	CHEBI:28938	based on kegg
L-homocysteine [peroxisome]	C4H9NO2S	0	peroxisome	C00155	CHEBI:17588	based on kegg
pyruvate [peroxisome]	C3H3O3	-1	peroxisome	C00022	CHEBI:15361	based on kegg
coenzyme A [peroxisome]	C21H32N7O16P3S	-4	peroxisome	C00010	CHEBI:57287	based on kegg
ATP [peroxisome]	C10H12N5O13P3	-4	peroxisome	C00002	CHEBI:30616	based on kegg
behenate [peroxisome]	C22H43O2	-1	peroxisome	C08281	CHEBI:23858	based on kegg
docosanoyl-CoA [peroxisome]	C43H74N7O17P3S	-4	peroxisome	C16528	CHEBI:65088	based on kegg
AMP [peroxisome]	C10H12N5O7P	-2	peroxisome	C00020	CHEBI:456215	based on kegg
diphosphate [peroxisome]	HO7P2	-3	peroxisome	C00013	CHEBI:33019	based on kegg
coenzyme A [peroxisome]	C21H32N7O16P3S	-4	peroxisome	C00010	CHEBI:57287	based on kegg
ATP [peroxisome]	C10H12N5O13P3	-4	peroxisome	C00002	CHEBI:30616	based on kegg
behenate [peroxisome]	C22H43O2	-1	peroxisome	C08281	CHEBI:23858	based on kegg
diphosphate [peroxisome]	HO7P2	-3	peroxisome	C00013	CHEBI:33019	based on kegg
AMP [peroxisome]	C10H12N5O7P	-2	peroxisome	C00020	CHEBI:456215	based on kegg
docosanoyl-CoA [peroxisome]	C43H74N7O17P3S	-4	peroxisome	C16528	CHEBI:65088	based on kegg
dihydroxyacetone phosphate [peroxisome]	C3H5O6P	-2	peroxisome	C00111	CHEBI:57642	based on kegg
H+ [peroxisome]	H	1	peroxisome	C00080	CHEBI:24636	based on kegg
NADH [peroxisome]	C21H27N7O14P2	-2	peroxisome	C00004	CHEBI:57945	based on kegg
glycerol 3-phosphate [peroxisome]	C3H7O6P	-2	peroxisome	C00093	CHEBI:57597	based on kegg
NAD [peroxisome]	C21H26N7O14P2	-1	peroxisome	C00003	CHEBI:57540	based on kegg
coenzyme A [peroxisome]	C21H32N7O16P3S	-4	peroxisome	C00010	CHEBI:57287	based on kegg
O-acetylcarnitine [peroxisome]	C9H17NO4	0	peroxisome	C02571	CHEBI:57589	based on kegg
(R)-carnitine [peroxisome]	C7H15NO3	0	peroxisome	C00318	CHEBI:16347	based on kegg
acetyl-CoA [peroxisome]	C23H34N7O17P3S	-4	peroxisome	C00024	CHEBI:57288	based on kegg
H2O [peroxisome]	H2O	0	peroxisome	C00001	CHEBI:15377	based on kegg
nicotinamide [peroxisome]	C6H6N2O	0	peroxisome	C00153	CHEBI:17154	based on kegg
