genes	geneShortName	ncbigene	refseq	uniprot	kegg.genes	ecogene	hprd	asap	ccds	ncbiprotein
YCR026C	NPP1	850391	NM_001178741	P25353	sce:YCR026C					NP_009955
YEL016C	NPP2	856699	NM_001178831	P39997	sce:YEL016C					NP_010900
YHR039C	MSC7		856434	NM_001179169	P38694	sce:YHR039C					NP_011904
YHR210C		856617	NM_001179341	P38893	sce:YHR210C					NP_012080
YNR071C		855808	NM_001183248	P53757	sce:YNR071C					NP_014469
YJR096W		853559	NM_001181754	P47137	sce:YJR096W					NP_012630
YDL124W		851433	NM_001180183	Q07551	sce:YDL124W					NP_010159
YEL011W	GLC3	856705	NM_001178826	P32775	sce:YEL011W					NP_010905
YPR193C	HPA2	856323	NM_001184290	Q06592	sce:YPR193C					NP_015519
YJL127C	SPT10	853315	NM_001181560	P35208	sce:YJL127C					NP_012408
YDR109C		851687	NM_001180417		sce:YDR109C					NP_010394
YKL151C	NNR2	853706	NM_001179717		sce:YKL151C					NP_012771
YOR239W		854414	NM_001183658	Q08641	sce:YOR239W					NP_014882
