rxnID	coefficient	Metabolite standard name	Metabolite_type	compartment
r_0308_p	1.0	H2O	reactant	peroxisome
r_0308_p	1.0	L-cystathionine	reactant	peroxisome
r_0308_p	1.0	ammonium	product	peroxisome
r_0308_p	1.0	L-homocysteine	product	peroxisome
r_0308_p	1.0	pyruvate	product	peroxisome
r_2213_p	1.0	coenzyme A	reactant	peroxisome
r_2213_p	1.0	ATP	reactant	peroxisome
r_2213_p	1.0	behenate	reactant	peroxisome
r_2213_p	1.0	docosanoyl-CoA	product	peroxisome
r_2213_p	1.0	AMP	product	peroxisome
r_2213_p	1.0	diphosphate	product	peroxisome
r_2216_p	1.0	coenzyme A	reactant	peroxisome
r_2216_p	1.0	ATP	reactant	peroxisome
r_2216_p	1.0	behenate	reactant	peroxisome
r_2216_p	1.0	diphosphate	product	peroxisome
r_2216_p	1.0	AMP	product	peroxisome
r_2216_p	1.0	docosanoyl-CoA	product	peroxisome
r_0491_p	1.0	dihydroxyacetone phosphate	reactant	peroxisome
r_0491_p	1.0	H+	reactant	peroxisome
r_0491_p	1.0	NADH	reactant	peroxisome
r_0491_p	1.0	glycerol 3-phosphate	product	peroxisome
r_0491_p	1.0	NAD	product	peroxisome
r_0254_p	1.0	coenzyme A	reactant	peroxisome
r_0254_p	1.0	O-acetylcarnitine	reactant	peroxisome
r_0254_p	1.0	(R)-carnitine	product	peroxisome
r_0254_p	1.0	acetyl-CoA	product	peroxisome
r_0781_p	1.0	H2O	reactant	peroxisome
r_0781_p	1.0	nicotinamide	reactant	peroxisome
r_0781_p	1.0	ammonium	product	peroxisome
r_0781_p	1.0	nicotinate	product	peroxisome
r_2218_p	1.0	coenzyme A	reactant	peroxisome
r_2218_p	1.0	ATP	reactant	peroxisome
r_2218_p	1.0	cerotic acid	reactant	peroxisome
r_2218_p	1.0	diphosphate	product	peroxisome
r_2218_p	1.0	AMP	product	peroxisome
r_2218_p	1.0	hexacosanoyl-CoA	product	peroxisome
r_0483_p	2.0	glutathione	reactant	peroxisome
r_0483_p	1.0	hydrogen peroxide	reactant	peroxisome
r_0483_p	1.0	glutathione disulfide	product	peroxisome
r_0483_p	2.0	H2O	product	peroxisome
r_0904_p	1.0	(R)-5-phosphomevalonic acid	reactant	peroxisome
r_0904_p	1.0	ATP	reactant	peroxisome
r_0904_p	1.0	(R)-5-diphosphomevalonic acid	product	peroxisome
r_0904_p	1.0	ADP	product	peroxisome
r_0216_p	1.0	2-oxoglutarate	reactant	peroxisome
r_0216_p	1.0	L-aspartate	reactant	peroxisome
r_0216_p	1.0	L-glutamate	product	peroxisome
r_0216_p	1.0	oxaloacetate	product	peroxisome
r_2217_p	1.0	coenzyme A	reactant	peroxisome
r_2217_p	1.0	ATP	reactant	peroxisome
r_2217_p	1.0	lignoceric acid	reactant	peroxisome
r_2217_p	1.0	diphosphate	product	peroxisome
r_2217_p	1.0	AMP	product	peroxisome
r_2217_p	1.0	tetracosanoyl-CoA	product	peroxisome
r_2215_p	1.0	coenzyme A	reactant	peroxisome
r_2215_p	1.0	ATP	reactant	peroxisome
r_2215_p	1.0	cerotic acid	reactant	peroxisome
r_2215_p	1.0	hexacosanoyl-CoA	product	peroxisome
r_2215_p	1.0	AMP	product	peroxisome
r_2215_p	1.0	diphosphate	product	peroxisome
r_2214_p	1.0	coenzyme A	reactant	peroxisome
r_2214_p	1.0	ATP	reactant	peroxisome
r_2214_p	1.0	lignoceric acid	reactant	peroxisome
r_2214_p	1.0	tetracosanoyl-CoA	product	peroxisome
r_2214_p	1.0	AMP	product	peroxisome
r_2214_p	1.0	diphosphate	product	peroxisome
r_0716_p	1.0	acetyl-CoA	reactant	peroxisome
r_0716_p	1.0	glyoxylate	reactant	peroxisome
r_0716_p	1.0	H2O	reactant	peroxisome
r_0716_p	1.0	(S)-malate	product	peroxisome
r_0716_p	1.0	coenzyme A	product	peroxisome
r_0716_p	1.0	H+	product	peroxisome
r_0714_p	1.0	(S)-malate	reactant	peroxisome
r_0714_p	1.0	NAD	reactant	peroxisome
r_0714_p	1.0	H+	product	peroxisome
r_0714_p	1.0	NADH	product	peroxisome
r_0714_p	1.0	oxaloacetate	product	peroxisome
r_0681_p	1.0	2-oxoglutarate	reactant	peroxisome
r_0681_p	1.0	erythro-4-hydroxy-L-glutamic acid	reactant	peroxisome
r_0681_p	1.0	4-hydroxy-2-oxoglutarate	product	peroxisome
r_0681_p	1.0	L-glutamate	product	peroxisome
r_0804_p	1.0	GTP	reactant	peroxisome
r_0804_p	1.0	H2O	reactant	peroxisome
r_0804_p	1.0	GDP	product	peroxisome
r_0804_p	1.0	H+	product	peroxisome
r_0804_p	1.0	phosphate	product	peroxisome
r_0988_p	1.0	H2O	reactant	peroxisome
r_0988_p	1.0	L-saccharopine	reactant	peroxisome
r_0988_p	1.0	NAD	reactant	peroxisome
r_0988_p	1.0	2-oxoglutarate	product	peroxisome
r_0988_p	1.0	H+	product	peroxisome
r_0988_p	1.0	L-lysine	product	peroxisome
r_0988_p	1.0	NADH	product	peroxisome
r_0255_p	2.0	hydrogen peroxide	reactant	peroxisome
r_0255_p	2.0	H2O	product	peroxisome
r_0255_p	1.0	oxygen	product	peroxisome
r_0156_p	1.0	glyoxylate	reactant	peroxisome
r_0156_p	1.0	L-alanine	reactant	peroxisome
r_0156_p	1.0	L-glycine	product	peroxisome
r_0156_p	1.0	pyruvate	product	peroxisome
