index	rxnNames	metNames	comps	coefficient
1	glutathione:NAD+ oxidoreductase	NAD	c	-1
1	glutathione:NAD+ oxidoreductase	glutathione	c	-2
1	glutathione:NAD+ oxidoreductase	NADH	c	1
1	glutathione:NAD+ oxidoreductase	H+	c	1
1	glutathione:NAD+ oxidoreductase	glutathione disulfide	c	1
2	ATP:2'-deoxy-5-hydroxymethylcytidine-5'-diphosphate phosphotransferase	ATP	c	-1
2	ATP:2'-deoxy-5-hydroxymethylcytidine-5'-diphosphate phosphotransferase	2'-Deoxy-5-hydroxymethylcytidine-5'-diphosphate	c	-1
2	ATP:2'-deoxy-5-hydroxymethylcytidine-5'-diphosphate phosphotransferase	ADP	c	1
2	ATP:2'-deoxy-5-hydroxymethylcytidine-5'-diphosphate phosphotransferase	2'-Deoxy-5-hydroxymethylcytidine-5'-triphosphate	c	1
3	FAD nucleotidohydrolase	H2O	c	-1
3	FAD nucleotidohydrolase	FAD	c	-1
3	FAD nucleotidohydrolase	AMP	c	1
3	FAD nucleotidohydrolase	FMN	c	1
3	FAD nucleotidohydrolase	H+	c	2
4	"P1,P3-bis(5'-adenosyl)-triphosphate adenylohydrolase"	H2O	m	-1
4	"P1,P3-bis(5'-adenosyl)-triphosphate adenylohydrolase"	"P1,P3-Bis(5'-adenosyl) triphosphate"	m	-1
4	"P1,P3-bis(5'-adenosyl)-triphosphate adenylohydrolase"	ADP	m	1
4	"P1,P3-bis(5'-adenosyl)-triphosphate adenylohydrolase"	AMP	m	1
4	"P1,P3-bis(5'-adenosyl)-triphosphate adenylohydrolase"	H+	m	2
5	L-glutamate gamma-semialdehyde:NAD+ oxidoreductase	H2O	m	-1
5	L-glutamate gamma-semialdehyde:NAD+ oxidoreductase	NAD	m	-1
5	L-glutamate gamma-semialdehyde:NAD+ oxidoreductase	L-glutamic 5-semialdehyde	m	-1
5	L-glutamate gamma-semialdehyde:NAD+ oxidoreductase	NADH	m	1
